Controlador de execução do SIMAN.

0.0010684802 Horas>
                                      ARENA Simulation Results
                                     Matheus - License: STUDENT

                                  Sumário para Replicação 1 de 1

Projeto: Unnamed Project                                             Data da execução :11/24/2018
Analista: Bernardelli                                                 Data de revisão do modelo:11/24/2018

Replicação terminada no tempo de      : 0.0010684802 Horas 
Unidade de Tempo Base: Horas

                                           VARIÁVEIS DE REGISTRO

Identificador                                  Média   Meia Largura  Mínimo    Máximo   Observações
___________________________________________________________________________________________________

CPU 15.Queue.NumberInQueue                  .04532     (Insuf)    .00000     5.0000     .00000    
CPU 14.Queue.NumberInQueue                  .04265     (Insuf)    .00000     4.0000     1.0000    
CPU 13.Queue.NumberInQueue                  .04282     (Insuf)    .00000     4.0000     .00000    
CPU 12.Queue.NumberInQueue                  .00194     (Insuf)    .00000     1.0000     .00000    
CPU 11.Queue.NumberInQueue                  .00191     (Insuf)    .00000     1.0000     .00000    
CPU 10.Queue.NumberInQueue                  .00208     (Insuf)    .00000     1.0000     .00000    
CPU 1.Queue.NumberInQueue                   .00000     (Insuf)    .00000     .00000     .00000    
CPU 3.Queue.NumberInQueue                   .00000     (Insuf)    .00000     .00000     .00000    
CPU 8.Queue.NumberInQueue                   .00000     (Insuf)    .00000     .00000     .00000    
CPU 6.Queue.NumberInQueue                   .00000     (Insuf)    .00000     .00000     .00000    
CPU 5.Queue.NumberInQueue                   .00000     (Insuf)    .00000     .00000     .00000    

                                             RESULTADOS

Identificador                                   Valor
_____________________________________________________________

CPU 8 Accum VA Cost                         .00000    
CPU 6 Total Accum Time                      .00000    
CPU 19 Accum VA Time                        7.1229E-05
CPU 18 Accum VA Time                        7.2659E-05
CPU 17 Accum VA Time                        6.9879E-05
CPU 16 Accum VA Time                        7.1309E-05
CPU 15 Accum VA Time                        7.3633E-05
CPU 14 Accum VA Time                        6.9957E-05
CPU 13 Accum VA Time                        7.0044E-05
CPU 12 Accum VA Time                        7.4328E-05
CPU 11 Accum VA Time                        6.9153E-05
CPU 10 Accum VA Time                        7.0505E-05
CPU 21 Number In                            3319.0    
CPU 20 Number In                            3092.0    
CPU 2 Number In                             .00000    
CPU 2 Total Accum Cost                      .00000    
CPU 1 Total Accum Time                      .00000    
CPU 19 Total Accum Time                     7.3868E-05
CPU 18 Total Accum Time                     7.6683E-05
CPU 17 Total Accum Time                     7.3306E-05
CPU 16 Total Accum Time                     7.5130E-05
CPU 15 Total Accum Time                     1.2205E-04
CPU 14 Total Accum Time                     1.1550E-04
CPU 13 Total Accum Time                     1.1579E-04
CPU 12 Total Accum Time                     7.6401E-05
CPU 11 Total Accum Time                     7.1190E-05
CPU 10 Total Accum Time                     7.2728E-05
CPU 21 Number Out                           3319.0    
CPU 20 Number Out                           3092.0    
CPU 5 Number Out                            .00000    
CPU 2 Number Out                            .00000    
CPU 2 Accum Wait Cost                       .00000    
CPU 8 Accum Wait Time                       .00000    
CPU 3 Accum VA Cost                         .00000    
CPU 1 Accum VA Time                         .00000    
CPU 8 Accum VA Time                         .00000    
CPU 6 Accum VA Time                         .00000    
CPU 6 Number Out                            .00000    
CPU 8 Total Accum Time                      .00000    
CPU 7 Number Out                            .00000    
CPU 8 Total Accum Cost                      .00000    
CPU 1 Accum VA Cost                         .00000    
CPU 1 Number Out                            .00000    
CPU 2 Accum Wait Time                       .00000    
CPU 1 Accum Wait Cost                       .00000    
CPU 19 Accum VA Cost                        .00000    
CPU 18 Accum VA Cost                        .00000    
CPU 17 Accum VA Cost                        .00000    
CPU 16 Accum VA Cost                        .00000    
CPU 15 Accum VA Cost                        .00000    
CPU 14 Accum VA Cost                        .00000    
CPU 13 Accum VA Cost                        .00000    
CPU 12 Accum VA Cost                        .00000    
CPU 11 Accum VA Cost                        .00000    
CPU 10 Accum VA Cost                        .00000    
CPU 9 Total Accum Cost                      .00000    
CPU 4 Accum Wait Cost                       .00000    
CPU 5 Accum VA Cost                         .00000    
CPU 4 Accum VA Cost                         .00000    
CPU 5 Accum Wait Cost                       .00000    
CPU 6 Accum VA Cost                         .00000    
CPU 3 Total Accum Time                      .00000    
CPU 3 Accum VA Time                         .00000    
CPU 5 Accum Wait Time                       .00000    
CPU 6 Total Accum Cost                      .00000    
CPU 6 Accum Wait Cost                       .00000    
CPU 9 Number Out                            .00000    
CPU 5 Accum VA Time                         .00000    
CPU 2 Total Accum Time                      .00000    
CPU 8 Number Out                            .00000    
CPU 4 Total Accum Cost                      .00000    
CPU 19 Accum Wait Cost                      .00000    
CPU 18 Accum Wait Cost                      .00000    
CPU 17 Accum Wait Cost                      .00000    
CPU 16 Accum Wait Cost                      .00000    
CPU 15 Accum Wait Cost                      .00000    
CPU 14 Accum Wait Cost                      .00000    
CPU 13 Accum Wait Cost                      .00000    
CPU 12 Accum Wait Cost                      .00000    
CPU 11 Accum Wait Cost                      .00000    
CPU 10 Accum Wait Cost                      .00000    
CPU 9 Accum Wait Cost                       .00000    
CPU 7 Accum Wait Time                       .00000    
CPU 4 Number Out                            .00000    
CPU 3 Number In                             .00000    
CPU 4 Accum VA Time                         .00000    
CPU 9 Accum VA Cost                         .00000    
CPU 4 Number In                             .00000    
CPU 5 Total Accum Cost                      .00000    
CPU 6 Number In                             .00000    
CPU 21 Accum Wait Time                      2.6523E-06
CPU 20 Accum Wait Time                      2.4613E-06
CPU 2 Accum VA Time                         .00000    
CPU 4 Total Accum Time                      .00000    
CPU 9 Number In                             .00000    
CPU 7 Total Accum Time                      .00000    
CPU 3 Accum Wait Time                       .00000    
CPU 5 Total Accum Time                      .00000    
CPU 3 Total Accum Cost                      .00000    
CPU 7 Accum VA Cost                         .00000    
CPU 3 Accum Wait Cost                       .00000    
CPU 6 Accum Wait Time                       .00000    
CPU 1 Number In                             .00000    
CPU 19 Accum Wait Time                      2.6389E-06
CPU 18 Accum Wait Time                      4.0239E-06
CPU 17 Accum Wait Time                      3.4276E-06
CPU 16 Accum Wait Time                      3.8209E-06
CPU 15 Accum Wait Time                      4.8419E-05
CPU 14 Accum Wait Time                      4.5546E-05
CPU 13 Accum Wait Time                      4.5747E-05
CPU 12 Accum Wait Time                      2.0730E-06
CPU 11 Accum Wait Time                      2.0366E-06
